701	0.330	0.011	1.000
702	0.202	0.008	1.000
704	0.351	0.011	1.000
705	0.193	0.006	1.000
706	0.324	0.011	1.000
707	0.371	0.010	1.000
708	0.513	0.012	1.000
709	0.303	0.010	1.000
711	0.213	0.009	1.000
712	0.461	0.009	1.000
713	0.221	0.009	1.000
714	0.302	0.009	1.000
715	0.255	0.009	1.000
716	0.450	0.011	1.000
722	0.477	0.009	1.000
723	0.447	0.011	0.976
724	0.762	0.026	0.953
725	0.330	0.010	0.977
727	0.415	0.011	1.000
729	0.303	0.010	1.000
730	0.452	0.010	1.000
733	0.496	0.014	0.979
735	0.196	0.005	1.000
737	0.549	0.016	1.000
738	0.564	0.012	1.000
739	0.233	0.010	1.000
740	0.271	0.010	1.000
741	0.854	0.043	0.977
743	0.291	0.010	0.978
745	0.224	0.007	0.974
746	0.745	0.022	1.000
747	0.294	0.009	0.977
749	0.232	0.009	1.000
750	0.208	0.009	1.000
751	0.300	0.008	1.000
752	0.434	0.013	1.000
753	0.329	0.009	1.000
755	0.126	0.007	0.977
757	0.417	0.011	1.000
760	0.271	0.007	1.000
761	0.137	0.008	1.000
763	0.174	0.008	0.976
770	0.164	0.008	1.000
771	0.885	0.060	1.000
772	0.155	0.009	1.000
776	0.244	0.008	1.000
782	0.612	0.020	1.000
792	0.305	0.010	1.000
794	0.394	0.013	1.000
795	0.563	0.012	0.810
798	0.222	0.009	1.000
801	0.217	0.009	1.000
802	0.544	0.015	1.000
804	0.265	0.008	1.000
806	0.679	0.018	0.949
808	0.200	0.006	1.000
810	0.391	0.011	0.956
811	0.188	0.009	1.000
812	0.228	0.009	1.000
816	0.263	0.010	1.000
817	0.396	0.012	1.000
818	0.161	0.007	1.000
820	0.441	0.011	1.000
821	0.185	0.008	1.000
822	0.228	0.007	0.972
824	0.193	0.008	1.000
825	0.172	0.006	1.000
826	0.592	0.014	1.000
829	0.144	0.007	1.000
830	0.249	0.009	1.000
831	0.242	0.010	1.000
834	0.297	0.010	1.000
835	0.290	0.010	0.979
836	0.468	0.014	1.000
837	0.323	0.008	1.000
838	0.309	0.010	1.000
841	0.221	0.009	1.000
843	0.640	0.017	0.907
846	0.385	0.011	1.000
847	0.365	0.007	1.000
849	0.902	0.066	0.917
850	0.518	0.013	1.000
Results	0.357	0.012	0.991
